"Date","Flow Rate","Quality code","Quality code description"
"2018-06-26 09:00","1588.999","5",""
"2018-06-27 09:00","1553.794","5",""
"2018-06-28 09:00","1547.42","5",""
"2018-06-29 09:00","1550.606","5",""
"2018-06-30 09:00","1534.699","5",""
"2018-07-01 09:00","1544.236","5",""
"2018-07-02 09:00","1765.485","5",""
"2018-07-03 09:00","1640.662","5",""
"2018-07-04 09:00","1572.965","5",""
"2018-07-05 09:00","1525.18","5",""
"2018-07-06 09:00","1490.442","5",""
"2018-07-07 09:00","1512.518","5",""
"2018-07-08 09:00","1484.154","5",""
"2018-07-09 09:00","1503.044","5",""
"2018-07-10 09:00","1735.654","5",""
"2018-07-11 09:00","2029.75","5",""
"2018-07-12 09:00","1778.796","5",""
"2018-07-13 09:00","1617.994","5",""
"2018-07-14 09:00","1560.176","5",""
"2018-07-15 09:00","1550.606","5",""
"2018-07-16 09:00","1449.725","5",""
"2018-07-17 09:00","1443.493","5",""
"2018-07-18 09:00","1468.472","5",""
"2018-07-19 09:00","1452.844","5",""
"2018-07-20 09:00","1455.966","5",""
"2018-07-21 09:00","1434.162","5",""
"2018-07-22 09:00","1354.12","5",""
"2018-07-23 09:00","1317.683","5",""
"2018-07-24 09:00","1381.658","5",""
"2018-07-25 09:00","1397.035","5",""
"2018-07-26 09:00","1366.337","5",""
"2018-07-27 09:00","1344.98","5",""
"2018-07-28 09:00","1387.802","5",""
"2018-07-29 09:00","1614.764","5",""
"2018-07-30 09:00","2635.812","3",""
"2018-07-31 09:00","4030.415","3",""
"2018-08-01 09:00","3869.697","3",""
"2018-08-02 09:00","5123.222","3",""
"2018-08-03 09:00","5419.878","3",""
"2018-08-04 09:00","6930.007","3",""
"2018-08-05 09:00","7173.244","3",""
"2018-08-06 09:00","7694.783","3",""
"2018-08-07 09:00","7649.5","3",""
"2018-08-08 09:00","7156.599","3",""
"2018-08-09 09:00","6370.93","3",""
"2018-08-10 09:00","6119.387","3",""
"2018-08-11 09:00","5569.344","3",""
"2018-08-12 09:00","5595.523","3",""
"2018-08-13 09:00","6580.516","3",""
"2018-08-14 09:00","6955.88","3",""
"2018-08-15 09:00","7134.424","3",""
"2018-08-16 09:00","6341.216","3",""
"2018-08-17 09:00","5687.576","3",""
"2018-08-18 09:00","5920.625","3",""
"2018-08-19 09:00","5893.78","3",""
"2018-08-20 09:00","6143.944","3",""
"2018-08-21 09:00","6425.489","3",""
"2018-08-22 09:00","6657.223","3",""
"2018-08-23 09:00","6148.859","3",""
"2018-08-24 09:00","6060.542","3",""
"2018-08-25 09:00","6346.166","3",""
"2018-08-26 09:00","6554.996","3",""
"2018-08-27 09:00","6606.061","3",""
"2018-08-28 09:00","6242.4","3",""
"2018-08-29 09:00","5767.01","3",""
"2018-08-30 09:00","6143.944","3",""
"2018-08-31 09:00","6114.478","3",""
"2018-09-01 09:00","6173.443","3",""
"2018-09-02 09:00","6286.823","3",""
"2018-09-03 09:00","6837.059","3",""
"2018-09-04 09:00","6826.751","3",""
"2018-09-05 09:00","6682.841","3",""
"2018-09-06 09:00","6590.731","3",""
"2018-09-07 09:00","6754.701","3",""
"2018-09-08 09:00","6744.424","3",""
"2018-09-09 09:00","7859.587","3",""
"2018-09-10 09:00","6455.293","3",""
"2018-09-11 09:00","6296.704","3",""
"2018-09-12 09:00","6060.542","3",""
"2018-09-13 09:00","5866.99","3",""
"2018-09-14 09:00","6070.34","3",""
"2018-09-15 09:00","7323.553","3",""
"2018-09-16 09:00","7910.94","3",""
"2018-09-17 09:00","8719.285","3",""
"2018-09-18 09:00","9436.852","3",""
"2018-09-19 09:00","9520.608","3",""
"2018-09-20 09:00","9520.608","3",""
"2018-09-21 09:00","8543.176","3",""
"2018-09-22 09:00","8320.143","3",""
"2018-09-23 09:00","7559.169","3",""
"2018-09-24 09:00","8296.144","3",""
"2018-09-25 09:00","9270.088","3",""
"2018-09-26 09:00","9289.279","3",""
"2018-09-27 09:00","9411.131","3",""
"2018-09-28 09:00","9488.365","3",""
"2018-09-29 09:00","9469.037","3",""
"2018-09-30 09:00","6749.562","3",""
"2018-10-01 09:00","6247.333","3",""
"2018-10-02 09:00","6202.975","3",""
"2018-10-03 09:00","6143.944","3",""
"2018-10-04 09:00","6242.4","3",""
"2018-10-05 09:00","7418.658","3",""
"2018-10-06 09:00","7317.97","3",""
"2018-10-07 09:00","7362.67","3",""
"2018-10-08 09:00","8152.607","3",""
"2018-10-09 09:00","8182.445","3",""
"2018-10-10 09:00","9282.88","3",""
"2018-10-11 09:00","8829.163","3",""
"2018-10-12 09:00","7012.887","3",""
"2018-10-13 09:00","7278.922","3",""
"2018-10-14 09:00","7290.072","3",""
"2018-10-15 09:00","7587.364","3",""
"2018-10-16 09:00","6554.996","3",""
"2018-10-17 09:00","5615.192","3",""
"2018-10-18 09:00","5471.662","3",""
"2018-10-19 09:00","4695.868","3",""
"2018-10-20 09:00","4098.579","3",""
"2018-10-21 09:00","3996.928","3",""
"2018-10-22 09:00","3798.585","3",""
"2018-10-23 09:00","3760.534","3",""
"2018-10-24 09:00","4658.665","3",""
"2018-10-25 09:00","4627.767","3",""
"2018-10-26 09:00","4928.513","3",""
"2018-10-27 09:00","5940.794","3",""
"2018-10-28 09:00","6544.898","3",""
